Номенклатура;КодНоменклатуры;Склад;Количество;Сумма
118А Подшипник ;00000001711;Склад бр Оберемко В.;3;11437.5
Вал силовой МТЗ 70-1721113-А (Бобруйск);00000001935;Склад бр Оберемко В.;1;4689.88
Механизм переключения передач КПП К-700/701 (Украина, НОВЫЙ);00000006547;Склад бр Оберемко В.;5;271042.77
Фильтр маслянный МТЗ-80/Бычек (мет.корпус с резьбой)(Специалист)(Кострома);00000006599;Склад бр Оберемко В.;1;674.13
Шатун Д-240 МТЗ 240-1004100 (ОАО ММЗ) г.Минск;00000006626;Склад бр Оберемко В.;1;12038.86
Наконечник рулевой тяги лев. МТЗ (шарнир) 50-3003030-А (Ромны);00000006644;Склад бр Оберемко В.;4;4060.01
Мост ведущий К-700/701 в сборе;00000006687;Склад бр Оберемко В.;1;734597.85
Насос масляный ЯМЗ-236/238 (ОАО Автодизель-ЯМЗ);00000007282;Склад бр Оберемко В.;1;22737.82
Насос масляный ЯМЗ-240 (ОАО Автодизель-ЯМЗ) ;00000007283;Склад бр Оберемко В.;1;24682.82
Прокладка крышки клапанов МТЗ (резинопробка);00000006835;Склад бр Оберемко В.;1;149.36
Сальник 80х105 сальник коленвала СМД 2-х бортн.;00000006830;Склад бр Оберемко В.;1;118.84
Ниппель дренажной трубки М10 ЯМЗ (ОАО Автодизель-ЯМЗ);011780     ;Склад бр Оберемко В.;2;1136.36
Радиатор масляный К-700А/701 С-Пг. ;00000007340;Склад бр Оберемко В.;1;63092.86
Распылитель ЯМЗ-656,658 Евро-3 (ОАО ЯЗДА);007658     ;Склад бр Оберемко В.;2;4888.86
Клапан выпускной ЯМЗ,ДТ,Т-4 (СССР)  ;009799     ;Склад бр Оберемко В.;1;1794.3
Втулка РПН нов.обр. К-700/701 700А.16.02.054-1;00000000051;Склад бр Оберемко В.;2;3825.76
Втулка трубы шарнира большая К-700/701 700А.28.00.079;00000000053;Склад бр Оберемко В.;2;14976
Гайка М16х1,5 большого болта кардана К-700/701;00000000056;Склад бр Оберемко В.;16;349.94
Гайка М12х1,25 малого болта кардана К-700/701 ;00000000057;Склад бр Оберемко В.;100;1307.88
Датчик давления масла двигателя (10 атм) К-700/701 г.Владимир;00000000088;Склад бр Оберемко В.;1;1026.69
Датчик давления масла КПП (15 атм) К-700/701 (г.Владимир);00000000089;Склад бр Оберемко В.;4;4546.11
Датчик температуры двигателя МТЗ, ЯМЗ, К-700/701 г.Калуга.;00000000090;Склад бр Оберемко В.;1;579.53
Насос топливоподкач-й РНМ-1КУ в кабину К-700/701 (Россия);00000000154;Склад бр Оберемко В.;4;15423.3
"Ось ведущего шкива вариатора вент-ра ""Енисей""";00000000427;Склад бр Оберемко В.;1;4815
Шайба медная 10*14*1,5;00000000765;Склад бр Оберемко В.;60;683.18
Шайба медная 12*16*1,5;00000000766;Склад бр Оберемко В.;4;53.51
Шайба медная 14*20*1,5;00000000767;Склад бр Оберемко В.;40;1033.28
Шайба медная 09,3*14,5*0,7 (фигурная, под распылитель);00000000769;Склад бр Оберемко В.;16;169.31
Катушка стартера СТ-25 ЯМЗ (ПРАМО);00000000801;Склад бр Оберемко В.;2;20625
Крышка втягивающего реле стартера СТ-25 ЯМЗ ;00000000803;Склад бр Оберемко В.;1;680.49
Манометр (0-10атм) мех-й.;00000000804;Склад бр Оберемко В.;2;3450.29
Вал привода вентилятора ЯМЗ-238НБ (стар.обр.);00000000837;Склад бр Оберемко В.;1;1273.98
Клапан нагнетательный в сборе Т-4, ДТ, СМД (WUXI WEIFU);00000000861;Склад бр Оберемко В.;4;1472.04
Клапан перепускной ЯМЗ (ОАО ЯЗДА);00000000863;Склад бр Оберемко В.;2;1750.41
Насос водяной ЯМЗ-236/238 стар.обр (Россия);00000000887;Склад бр Оберемко В.;4;51278.09
Насос водяной ЯМЗ-238НД3/5 нов.обр (Россия)  ;00000000888;Склад бр Оберемко В.;10;214781.15
