Номенклатура;КодНоменклатуры;Склад;Количество;Сумма
Диск колеса культиватора, сельхозмашин 6-ти шпил. W8x16 (Бобруйск);008674     ;Cклад Петропавловск;3;30049.89
Прокладок двигателя А-01(Т-4) GORTESS (РЕМ. К-Т.);008124     ;Cклад Петропавловск;1;1056.21
"Радиатор водяной МТЗ-80/82 алюминий с пласт.баками ""Композит""";007361     ;Cклад Петропавловск;1;34529.53
Тяга стрясной доски правая в сб. /КЗК0202040Б-01/ Палессе-812/1218/Еssil-740/760 (Гомсельмаш);008266     ;Cклад Петропавловск;1;39169.11
Вкладыши  шатунные ЯМЗ-236 (Р2) Мелитополь;007646     ;Cклад Петропавловск;1;2459.76
Поршнекомплект КАМАЗ-740.30 Евро1,2 Дальнобойщик (Г+П+УК+ПК+СК+ПП) Кострома;008975     ;Cклад Петропавловск;8;127663.94
Тавотница угловая М10х90;012252     ;Cклад Петропавловск;24;646.42
Вилка синхронизатора 5 и 6 передачи МТЗ-1221 (ОАО МТЗ) ;008845     ;Cклад Петропавловск;1;14434.65
Втулка конусная МТЗ-1221 (ОАО МТЗ);008864     ;Cклад Петропавловск;3;1026.77
1250La-11 Ремень генератора Д-240 (МТЗ-80,82), СМД-31-01, Д-241-Л, ЗИЛ-645(ООО ПРАМО);013278     ;Cклад Петропавловск;10;4357.5
Болт ступицы сеялки с гайкой Омичка;006104     ;Cклад Петропавловск;36;8598.73
Свеча зажигания А-14ДВР ЗМЗ-405,406,409 (Энгельс);006111     ;Cклад Петропавловск;20;3572.98
Вал ведущий подборщика ПП-3 Енисей-1200М;009662     ;Cклад Петропавловск;4;80364
Проушина навески (короткая) МТЗ-1221 (Ромны);007522     ;Cклад Петропавловск;4;4465.72
Шкив натяжной привода соломотряса 380 (в сб. с кронштейном) (Ростсельмаш);014026     ;Cклад Петропавловск;3;66006.4
Прокладок двигателя Д-245 МТЗ GORTESS (РЕМ. К-Т.);009492     ;Cклад Петропавловск;3;4394.68
Насос топливоподкач-ий в сборе Д-260 (ТНВД 363) (ОАО ЯЗДА);009082     ;Cклад Петропавловск;1;5153.09
Плита переходная под стартер (с бендиксом) МТЗ-80/82 (Украина);014835     ;Cклад Петропавловск;3;22108.19
Гидроцилиндр погрузчика ПКУ-08 (большой) с ШС-40 (ГЦ111.01.041.03);011315     ;Cклад Петропавловск;4;101401.58
Фара круглая,плоская,галоген H3, 12В, МТЗ н.о. (корпус металл) (Руслан);007530     ;Cклад Петропавловск;16;24193.96
Звёздочка верхнего вала накл. камеры Дон Z=20, шаг 25,4 (Ростсельмаш);013978     ;Cклад Петропавловск;1;7049.67
Вал вертикальный переднего моста МТЗ-82 52-2308063 (Ромны);007782     ;Cклад Петропавловск;2;10234.23
Шнек распределительный Палессе-1218/Еssil-760 (Гомсельмаш);010770     ;Cклад Петропавловск;1;80538.46
Трубка манометра масла МТЗ 70-3801080 (К);00000070037;Cклад Петропавловск;5;1146.69
Муфта упругая привода вентилятора ЯМЗ-236/238 (ЯЗТО);014976     ;Cклад Петропавловск;4;12623.69
Кольцо ведущего вала КПП К-700/701 700.17.01.024-1 (Технолит);014422     ;Cклад Петропавловск;3;8262.18
Вод. насоса СМД-14/22 (вал, подш.) с крыльчаткой нов./обр. (РЕМ. К-Т.)(РУСЬ);002817     ;Cклад Петропавловск;1;1454.96
7311АК Подшипник (8.8261) (ПАО Автодизель-ЯМЗ);011417     ;Cклад Петропавловск;9;24594.57
Поршнекомплект СМД-20 1-но масл.(Г,П,УК) Конотоп;007418     ;Cклад Петропавловск;8;88894.38
Стяжка навески МТЗ 1221 (без серёг) (Ромны);008493     ;Cклад Петропавловск;4;12425.94
4000 45 х 22 Ремень ходовой Нива, Енисей (Ярославль Премиум) ;013411     ;Cклад Петропавловск;14;137734.82
Турбокомпрессор ТКР 6,5.1-11.07 Д-245.9Е3 (ЗиЛ) (г.Борисов);010915     ;Cклад Петропавловск;1;66794.56
Втулка распредвала узкая (ОАО Автодизель-ЯМЗ) ;007574     ;Cклад Петропавловск;12;32038.73
Поршнекомплект Д-442/448 Агро (Г+П+УК+ПК+СК+ПП) Кострома;008437     ;Cклад Петропавловск;4;69234.92
Втулка пальца шнека/битера Вектор,Акрос (16мм) (Ростсельмаш);013973     ;Cклад Петропавловск;9;4705.19
Поршнекомплект КАМАЗ-740.60 Евро2,3 Дальнобойщик (Г+П+УК+ПК+СК+ПП) Кострома;009197     ;Склад № 1;24;412963.84
"Шланг пневматический полуприцепа КамАЗ-ЕВРО спираль М22 ""ИСКРАЙТ""";012693     ;Склад № 1;2;3078.57
Рычаг поворотный цапфы МТЗ левый (с ГОРУ) двойной (Витебск);006034     ;Склад № 1;69;555323.39
Втулка шлицевая Т-40;006035     ;Склад № 1;1;2349.34
"Распылитель Д-243,245,260 МТЗ-Евро2 (АЗПИ) ""174-1.01""";006036     ;Склад № 1;103;295163.56
Трубка подвода масла к ТНВД ЯМЗ-236;006038     ;Склад № 1;7;1954.26
"Распылитель ТМЗ-8421 ""Тутаевец"" (ЯЗДА) ";011507     ;Склад № 1;34;55606.32
Глушитель МТЗ (длинный) Новосады;007471     ;Склад № 1;53;420958.73
Поршнекомплект ЯМЗ-236 2-х масл. (Конотоп) (Г+П+УК);008508     ;Склад № 1;5;54322.45
Привод вентилятора 2-х руч. 238НД3 (принудит.смазка) /каленые вал, шест/ (ДТЭ);015158     ;Склад № 1;6;121002
Диск нажимной тормозной МТЗ-80/1221/900 нов. обр. (К);011949     ;Склад № 1;16;68181.58
Турбокомпрессор ТКР 6.1-09.03 Д-245.7Е2 (ГАЗ-3309, 33081) /аналог чешск. С14-179-01/ (г.Борисов);010920     ;Склад № 1;2;132478.69
Поршнекомплект ЯМЗ-7511 нов. обр. (Кострома) (Г+П+УК+ПК+СК+ПП) Эксперт;011069     ;Склад № 1;50;1093162.59
Вал ВОМ МТЗ стар. обр. 6 шлиц  70-4202018 (Тара);005940     ;Склад № 1;15;66336.08
Блок двигателя Д-260 (ОАО ММЗ) г.Минск;005941     ;Склад № 1;3;1291226.53
Гидроцил-ра горизонт-го перемещения мотовила ГСЦ32.180.16.000 Дон.Вектор (РЕМ. К-Т.)(РУСЬ);005948     ;Склад № 1;21;1390.97
Стекло большой кабины боковое МТЗ (без отв.) 767х642;005951     ;Склад № 1;61;79971
Прокладок двигателя Д-144 Т-40 полный GORTESS (РЕМ. К-Т.);008128     ;Склад № 1;20;72726.72
Шестерня солнечная ВОМ МТЗ-80/82 Z=30, Dн=80, L=75 (Пенза);013615     ;Склад № 1;10;18693
Турбокомпрессор ТКР 6,5.1-10.06 Д-245.7Е3 (ГАЗ) /аналог чешск. С14-180-01/ (г.Борисов);013335     ;Склад № 1;1;70790.05
Штифт шестерни ll ступени редуктора 5С2,5х10 ГОСТ 3128-70 (ОАО МТЗ);009127     ;Склад № 1;20;834.59
Диск сцепления ведомый ЯМЗ-236/238М2 (1-но диск сц.) с безасбестовой накладкой;005535     ;Склад № 1;3;53343.85
Диск сцепления ведомый КамАЗ (Тара);005562     ;Склад № 1;13;99063.61
Переходник выпускного коллектора Д-240 (МТЗ) (Руслан);005620     ;Склад № 1;102;183785.3
Лента  ВОМ МТЗ 70-4202100 (кубики)(Бобруйск);005640     ;Склад № 1;55;251972.76
Лента  ВОМ МТЗ-1221 56мм широкая (кубики) (Бобруйск);005641     ;Склад № 1;108;516613.91
Прокладок двигателя КаМАЗ полный /зеленый силикон Эксперт/ (КЗА) (РЕМ. К-Т.);013383     ;Склад № 1;2;27671
Палец кронштейна нижней тяги навески МТЗ-1221 (Пенза);012368     ;Склад № 1;1;1120
"Радиатор водяной МТЗ-80/82 латунный с оцинк. баками ""Композит""";007370     ;Склад № 1;12;644247.96
